Fecha,Descripción,Total,Category,Medio de pago
22/09/2023,Electrodoméstico,"ARS 2,361.00",Deco/Insumos,Tarjeta crédito
01/09/2024,Aysa,"ARS 1,547.00",Servicio Básico,Pago compartido
01/09/2024,Seguro,"ARS 35,750.50",Auto,Pago compartido
01/09/2024,Artículo hogar,"ARS 2,754.50",Deco/Insumos,Pago compartido
01/09/2024,Libreria,"ARS 3,878.00",Educación,Tarjeta crédito
21/09/2024,Artículo hogar,"ARS 8,750.00",Recreación,Tarjeta crédito
21/09/2024,Artículo hogar,"ARS 10,066.00",Recreación,Tarjeta crédito
27/09/2024,Farmacia,"ARS 5,981.84",Bienestar,Tarjeta crédito
12/10/2024,Artículo hogar,"ARS 3,816.50",Deco/Insumos,Tarjeta crédito
15/10/2024,Mascotas,"ARS 10,403.00",Bendis,Pago compartido
15/10/2024,Mascotas,"ARS 10,812.50",Bendis,Pago compartido
24/10/2024,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
29/10/2024,Educación,"ARS 1,800.00",Educación,Tarjeta crédito
30/10/2024,Internet,"ARS 12,944.00",Servicio Básico,Tarjeta crédito
30/10/2024,Artículo hogar,"ARS 12,797.00",Deco/Insumos,Tarjeta crédito
01/11/2024,Artículo hogar,"ARS 15,015.00",Deco/Insumos,Pago compartido
04/11/2024,Ropa,"ARS 33,993.00",Ropa/Accesorios,Tarjeta crédito
06/11/2024,Streaming,"ARS 2,622.00",Streaming,Tarjeta crédito
06/11/2024,Streaming,"ARS 5,723.00",Streaming,Tarjeta crédito
08/11/2024,Ropa,"ARS 19,326.00",Ropa/Accesorios,Tarjeta crédito
13/11/2024,Salud,"ARS 13,330.00",Salud,Tarjeta crédito
15/11/2024,Artículo hogar,"ARS 2,101.00",Deco/Insumos,Pago compartido
17/11/2024,Streaming,"ARS 4,838.00",Streaming,Tarjeta crédito
20/11/2024,Farmacia,"ARS 14,705.00",Bienestar,Tarjeta crédito
20/11/2024,Ropa,"ARS 9,666.00",Ropa/Accesorios,Tarjeta crédito
21/11/2024,Streaming,"ARS 5,132.00",Streaming,Tarjeta crédito
28/11/2024,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
30/11/2024,Mantenimiento,"ARS 16,208.33",Auto,Tarjeta crédito
02/12/2024,Metrogas,"ARS 8,371.00",Servicio Básico,Pago compartido
02/12/2024,Supermercado,ARS 381.00,Supermercado,Billetera virtual
02/12/2024,Recreación,"ARS 15,000.00",Recreación,Billetera virtual
02/12/2024,Supermercado,ARS 43.00,Supermercado,Billetera virtual
03/12/2024,Alquiler y expensas,"ARS 300,000.00",Alquiler y Expensas,Transferencia bancaria
04/12/2024,Deporte,"ARS 67,760.00",Deporte,Billetera virtual
04/12/2024,Supermercado,ARS 35.00,Comida MD,Billetera virtual
04/12/2024,Supermercado,"ARS 1,000.00",Supermercado,Billetera virtual
04/12/2024,Restaurante,"ARS 6,300.00",Resto/Cafe,Billetera virtual
05/12/2024,Nafta,"ARS 7,500.00",Auto,Tarjeta débito
05/12/2024,Agip,"ARS 7,661.00",Servicio Básico,Pago compartido
05/12/2024,Mascotas,"ARS 10,000.00",Bendis,Tarjeta débito
08/12/2024,Supermercado,"ARS 24,704.00",Supermercado,Transferencia bancaria
09/12/2024,Consulta médica,"ARS 6,000.00",Salud,Billetera virtual
10/12/2024,Supermercado,"ARS 2,400.00",Supermercado,Pago compartido
10/12/2024,Donación,"ARS 5,000.00",Donación,Billetera virtual
11/12/2024,Supermercado,"ARS 4,000.00",Supermercado,Pago compartido
11/12/2024,Regalo,"ARS 6,033.00",Regalos,Tarjeta crédito
11/12/2024,Mantenimiento,"ARS 9,000.00",Auto,Tarjeta débito
11/12/2024,Mantenimiento,"ARS 7,000.00",Auto,Tarjeta débito
