Descripción,Total,Categoría de gasto,Fecha,Medio de pago
Restaurante,"ARS 9,500.00",Restaurante,06/05/2024,Billetera digital
Recreación,"ARS 3,500.00",Evento,06/05/2024,Tarjeta débito
Deporte,"ARS 42,500.00",Deporte,06/05/2024,Transferencia bancaria
Transporte,"ARS 1,000.00",Transporte,06/05/2024,Billetera digital
Recreación,"ARS 14,900.00",Recreación,06/05/2024,Billetera digital
Comida,"ARS 1,010.00",Comida,06/05/2024,Billetera digital
Regalo,"ARS 13,500.00",Regalos,07/05/2024,Transferencia bancaria
Artículo hogar,"ARS 1,600.00",Home,07/05/2024,Billetera digital
Libreria,"ARS 3,700.00",Libreria,07/05/2024,Transferencia bancaria
Regalo,"ARS 11,800.00",Regalos,07/05/2024,Tarjeta débito
Artículo hogar,"ARS 5,500.00",Home,07/05/2024,Tarjeta débito
Delivey,"ARS 6,535.00",Restaurante,07/05/2024,Tarjeta crédito
Almuerzo,"ARS 4,000.00",Comida medio dia,08/05/2024,Billetera digital
Abl,"ARS 3,860.00",Servicio,05/05/2024,Pago compartido
Metrogas,"ARS 1,316.00",Servicio,05/05/2024,Pago compartido
Streaming,"ARS 5,723.00",Streaming,06/05/2024,Tarjeta crédito
Streaming,"ARS 1,350.00",Streaming,09/05/2024,Tarjeta crédito
Streaming,ARS 673.00,Streaming,01/05/2024,Tarjeta crédito
Consulta medica,"ARS 3,500.00",Salud,09/05/2024,Billetera digital
Ibuprofeno,"ARS 2,000.00",Salud,09/05/2024,Tarjeta débito
Farmacia,"ARS 7,490.00",Salud,09/05/2024,Tarjeta débito
Mascotas,"ARS 3,225.00",Bendis,09/05/2024,Billetera virtual
Farmacia,"ARS 7,000.00",Salud,09/05/2024,Tarjeta débito
Restaurante,"ARS 15,100.00",Restaurante,09/05/2024,Billetera virtual
Transporte,"ARS 1,451.00",Transporte,09/05/2024,Billetera virtual
Transporte,"ARS 4,000.00",Transporte,12/05/2024,Billetera virtual
Supermercado,"ARS 1,650.00",Comida,03/05/2024,Pago compartido
Supermercado,"ARS 9,500.00",Comida,03/05/2024,Pago compartido
Supermercado,"ARS 1,010.00",Comida,06/05/2024,Pago compartido
Supermercado,ARS 750.00,Comida,08/05/2024,Pago compartido
Supermercado,"ARS 2,040.00",Comida,14/05/2024,Pago compartido
Supermercado,"ARS 1,600.00",Comida,14/05/2024,Pago compartido
Libreria,"ARS 2,100.00",Home,07/05/2024,Pago compartido
Artículo hogar,"ARS 2,744.50",Home,05/05/2024,Pago compartido
Electrodomestico,"ARS 2,361.00",Home,01/05/2024,Tarjeta crédito
Electrodomestico,"ARS 8,115.00",Home,01/05/2024,Tarjeta crédito
Regalo,"ARS 4,816.00",Regalos,01/05/2024,Pago compartido
Auto ,"ARS 17,570.00",Auto,01/05/2024,Pago compartido
Auto ,"ARS 27,500.00",Auto,28/03/2024,Tarjeta crédito
Auto ,"ARS 17,192.00",Auto,26/03/2024,Tarjeta crédito
Mascotas,"ARS 5,354.00",Bendis,31/01/2024,Tarjeta crédito
Mascotas,"ARS 4,000.00",Bendis,04/05/2024,Billetera virtual
Mascotas,"ARS 35,000.00",Bendis,03/05/2024,Tarjeta crédito
Mascotas,"ARS 6,750.00",Bendis,15/05/2024,Tarjeta débito
Artículo hogar,"ARS 1,470.00",Home,15/05/2024,Tarjeta débito
Supermercado,"ARS 3,314.00",Bienestar,15/05/2024,Tarjeta débito
Transporte,"ARS 2,000.00",Transporte,10/05/2024,Billetera virtual
Artículo hogar,"ARS 5,500.00",Home,13/05/2024,Billetera virtual
Farmacia,"ARS 18,783.00",Bienestar,15/05/2024,Tarjeta crédito
Bienestar,"ARS 18,175.00",Bienestar,13/05/2024,Pago compartido
Transporte,"ARS 3,373.00",Transporte,10/05/2024,Transferencia bancaria
Transporte,"ARS 4,060.00",Transporte,10/05/2024,Transferencia bancaria
Regalo,"ARS 12,000.00",Restaurante,11/05/2024,Transferencia bancaria
Supermercado,"ARS 12,851.00",Comida,11/05/2024,Tarjeta débito
Ropa,"ARS 58,666.00",Ropa,14/03/2024,Tarjeta crédito
Deporte,"ARS 47,316.00",Deporte,13/04/2024,Tarjeta crédito
Ropa,"ARS 18,833.00",Ropa,20/04/2024,Tarjeta crédito
Supermercado,"ARS 1,602.00",Home,29/04/2024,Tarjeta crédito
Ropa,"ARS 3,792.00",Ropa,17/06/2023,Tarjeta crédito
Recreación,"ARS 7,500.00",Recreación,01/05/2024,Tarjeta crédito
Ropa,"ARS 15,619.00",Ropa,01/05/2024,Tarjeta crédito
Educación,"ARS 7,700.00",Educacion,01/05/2024,Tarjeta crédito
Artículo hogar,"ARS 9,879.00",Home,01/05/2024,Tarjeta crédito
Educación,"ARS 44,007.00",Educacion,01/05/2024,Tarjeta crédito
Streaming,"ARS 2,539.00",Streaming,01/05/2024,Tarjeta crédito
Artículo hogar,"ARS 17,500.00",Home,01/05/2024,Tarjeta crédito
Internet,"ARS 35,796.00",Servicio,02/05/2024,Tarjeta crédito
Supermercado,"ARS 5,500.00",Bendis,16/05/2024,Billetera virtual
Artículo hogar,"ARS 1,100.00",Home,17/05/2024,Billetera virtual
Restaurante,"ARS 7,500.00",Restaurante,17/05/2024,Billetera virtual
Mantenimiento,"ARS 60,000.00",Home,18/05/2024,Transferencia bancaria
Restaurante,"ARS 7,500.00",Restaurante,17/05/2024,Billetera virtual
Artículo hogar,"ARS 4,800.00",Home,17/05/2024,Billetera virtual
Restaurante,"ARS 5,519.00",Restaurante,18/05/2024,Billetera virtual
Superpercado,"ARS 21,593.00",Comida,19/05/2024,Billetera virtual
Streaming,"ARS 4,000.00",Servicio,19/05/2024,Tarjeta crédito
Artículo hogar,"ARS 2,100.00",Home,20/05/2024,Billetera virtual
Donación,"ARS 2,000.00",Donacion,20/05/2024,Billetera virtual
Supermercado,"ARS 10,545.00",Comida,18/05/2024,Pago compartido
Supermercado,"ARS 3,465.00",Comida,19/05/2024,Pago compartido
Deporte,"ARS 21,990.00",Deporte,17/05/2024,TC Visa Provincia
Recreación,"ARS 9,350.00",Recreación,20/05/2024,Billetera virtual
Telefonía movil,"ARS 6,000.00",Servicio,22/05/2024,Tarjeta débito
Supermercado,"ARS 12,981.00",Comida,22/05/2024,Billetera virtual
Farmacia,"ARS 2,633.00",Salud,24/05/2024,Transferencia bancaria
Farmacia,"ARS 4,400.00",Salud,24/05/2024,Transferencia bancaria
Artículo hogar,"ARS 5,000.00",Home,25/05/2024,Transferencia bancaria
Restaurante,"ARS 10,000.00",Restaurante,24/05/2024,Transferencia bancaria
Artículo hogar,"ARS 1,600.00",,25/05/2024,Billetera virtual
Ropa,"ARS 7,500.00",,25/05/2024,Billetera virtual
Ropa,"ARS 25,000.00",,25/05/2024,Transferencia bancaria
Ropa,"ARS 12,000.00",,25/05/2024,Transferencia bancaria
Regalo,"ARS 6,800.00",Regalos,24/05/2024,Tarjeta débito
Ropa,"ARS 10,000.00",Ropa,25/05/2024,Transferencia bancaria
Almuerzo,"ARS 2,700.00",Comida medio dia,25/05/2024,Billetera virtual
Transporte,"ARS 3,070.00",Transporte,25/05/2024,Billetera virtual
Restaurante,"ARS 9,800.00",Restaurante,25/05/2024,Billetera virtual
Bienestar,"ARS 2,000.00",Bienestar,26/05/2024,Billetera virtual
Bienestar,"ARS 2,750.00",Bienestar,26/05/2024,Billetera virtual
Transporte,"ARS 4,200.00",Transporte,25/05/2024,Billetera virtual
Supermercado,"ARS 3,895.00",Comida,27/05/2024,Billetera virtual
Supermercado,"ARS 4,200.00",Bendis,28/05/2024,Billetera virtual
Supermercado,"ARS 2,150.00",Comida,28/05/2024,Billetera virtual
Supermercado,"ARS 2,600.00",Comida medio dia,28/05/2024,Billetera virtual
Artículo hogar,"ARS 7,000.00",Home,27/05/2024,Transferencia bancaria
Artículo hogar,"ARS 7,000.00",Home,28/05/2024,Transferencia bancaria
Supermercado,"ARS 6,490.00",Comida,25/05/2024,Pago compartido
Supermercado,"ARS 5,781.00",Comida,29/05/2024,Pago compartido
Aysa,"ARS 8,338.00",Servicio,27/05/2024,Pago compartido
Edesur,"ARS 9,243.00",Servicio,26/05/2024,Pago compartido
Mantenimiento,"ARS 8,647.00",Auto,28/05/2024,Pago compartido
Bienestar,"ARS 3,500.00",Bienestar,15/05/2024,Tarjeta crédito
Bienestar,"ARS 1,453.00",Bienestar,28/05/2024,Tarjeta crédito
