Fecha,Descripción,Total,Category,Medio de pago
22/09/2023,Electrodoméstico,"ARS 2,361.00",Deco/Insumos,Tarjeta crédito
01/09/2024,Seguro,"ARS 35,750.50",Auto,Tarjeta crédito
01/09/2024,Libreria,"ARS 3,878.00",Educación,Tarjeta crédito
01/09/2024,Aysa,ARS 547.50,Servicio Básico,Tarjeta crédito
01/09/2024,Artículo hogar,"ARS 2,754.50",Deco/Insumos,Tarjeta crédito
21/09/2024,Artículo hogar,"ARS 10,066.00",Recreación,Tarjeta crédito
21/09/2024,Artículo hogar,"ARS 8,750.00",Recreación,Tarjeta crédito
27/09/2024,Farmacia,"ARS 5,981.84",Bienestar,Tarjeta crédito
12/10/2024,Artículo hogar,"ARS 3,816.50",Deco/Insumos,Tarjeta crédito
15/10/2024,Mascotas,"ARS 10,812.50",Bendis,Tarjeta crédito
15/10/2024,Mascotas,"ARS 10,403.00",Bendis,Tarjeta crédito
24/10/2024,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
29/10/2024,Educación,"ARS 1,800.00",Educación,Tarjeta crédito
29/10/2024,Metrogas,"ARS 21,000.00",Servicio Básico,Tarjeta crédito
30/10/2024,Internet,"ARS 12,944.00",Servicio Básico,Tarjeta crédito
30/10/2024,Artículo hogar,"ARS 12,797.00",Deco/Insumos,Tarjeta crédito
31/10/2024,Consulta médica,"ARS 4,700.00",Salud,Billetera virtual
31/10/2024,Mascotas,"ARS 17,500.00",Bendis,Tarjeta crédito
01/11/2024,Restaurante,ARS 35.00,Resto/Cafe,Billetera virtual
01/11/2024,Supermercado,"ARS 3,000.00",Supermercado,Billetera virtual
01/11/2024,Supermercado,ARS 41.51,Supermercado,Billetera virtual
01/11/2024,Alquiler y expensas,"ARS 240,500.00",Alquiler y Expensas,Transferencia bancaria
02/11/2024,Supermercado,"ARS 7,025.00",Supermercado,Pago compartido
02/11/2024,Consulta médica,"ARS 4,700.00",Salud,Billetera virtual
02/11/2024,Supermercado,ARS 292.00,Supermercado,Billetera virtual
02/11/2024,Supermercado,ARS 222.00,Comida MD,Billetera virtual
03/11/2024,Artículo hogar,"ARS 6,000.00",Deco/Insumos,Billetera virtual
03/11/2024,Artículo hogar,"ARS 7,000.00",Deco/Insumos,Billetera virtual
03/11/2024,Recreación,"ARS 2,300.00",Recreación,Billetera virtual
03/11/2024,Recreación,"ARS 1,742.00",Recreación,Billetera virtual
03/11/2024,Recreación,"ARS 2,300.00",Recreación,Billetera virtual
