Fecha,Descripción,Total,Categoty,Medio de pago
29/04/2024,Artículo hogar,"ARS 1,601.00",Deco/Insumos,Tarjeta crédito
01/07/2024,Ropa,"ARS 13,556.66",Ropa,Tarjeta crédito
26/08/2024,Mascotas,"ARS 10,960.00",Bendis,Tarjeta crédito
26/08/2024,Mascotas,"ARS 12,000.00",Bendis,Tarjeta crédito
27/08/2024,Farmacia,"ARS 9,600.00",Bendis,Tarjeta crédito
28/08/2024,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
28/08/2024,Farmacia,"ARS 7,670.00",Bienestar,Tarjeta crédito
30/08/2024,Restaurante,"ARS 9,000.00",Resto/Cafe,Tarjeta crédito
01/09/2024,Bienestar,"ARS 18,175.00",Bienestar,Pago compartido
01/09/2024,Aysa,ARS 547.50,Servicio Básico,Pago compartido
01/09/2024,Mascotas,"ARS 14,437.00",Bendis,Pago compartido
01/09/2024,Seguro,"ARS 28,831.00",Auto,Pago compartido
01/09/2024,Artículo hogar,"ARS 2,754.50",Deco/Insumos,Pago compartido
01/09/2024,Restaurante,"ARS 23,000.00",Resto/Cafe,Tarjeta crédito
01/09/2024,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
01/09/2024,Libreria,"ARS 3,878.00",Educación,Tarjeta crédito
01/09/2024,Ropa,"ARS 12,600.00",Ropa,Tarjeta crédito
01/09/2024,Deporte,"ARS 21,990.00",Deporte,Tarjeta crédito
01/09/2024,Streming,"ARS 2,566.00",Streaming,Tarjeta crédito
01/09/2024,Ropa,"ARS 14,533.00",Educación,Tarjeta crédito
01/09/2024,Electrodoméstico,"ARS 8,115.00",Deco/Insumos,Tarjeta crédito
01/09/2024,Electrodoméstico,"ARS 2,361.00",Deco/Insumos,Tarjeta crédito
02/09/2024,Metrogas,"ARS 7,041.00",Servicio Básico,Pago compartido
02/09/2024,Internet,"ARS 11,968.00",Servicio Básico,Tarjeta crédito
02/09/2024,Mascotas,ARS 700.00,Bendis,Tarjeta débito
02/09/2024,Supermercado,"ARS 2,900.00",Supermercado,Billetera virtual
02/09/2024,Supermercado,ARS 112.00,Supermercado,Billetera virtual
03/09/2024,Supermercado,ARS 700.00,Supermercado,Pago compartido
03/09/2024,Supermercado,"ARS 1,500.00",Supermercado,Pago compartido
03/09/2024,Mascotas,"ARS 5,500.00",Bendis,Tarjeta crédito
03/09/2024,Farmacia,"ARS 2,110.00",Salud,Billetera virtual
04/09/2024,Mascotas,ARS 700.00,Bendis,Efectivo
04/09/2024,Restaurante,"ARS 6,100.00",Resto/Cafe,Billetera virtual
04/09/2024,Restaurante,ARS 35.00,Resto/Cafe,Billetera virtual
05/09/2024,Supermercado,"ARS 2,500.00",Bienestar,Pago compartido
05/09/2024,Supermercado,ARS 750.00,Supermercado,Pago compartido
06/09/2024,Edesur,"ARS 4,931.50",Servicio Básico,Pago compartido
06/09/2024,Agip,"ARS 6,662.50",Servicio Básico,Pago compartido
06/09/2024,Restaurante,"ARS 7,000.00",Resto/Cafe,Billetera virtual
06/09/2024,Restaurante,ARS 30.00,Comida MD,Billetera virtual
06/09/2024,Alquiler y expensas,"ARS 232,000.00",Alquiler y Expensas,Tranferencia bancaria
06/09/2024,Streming,"ARS 5,723.00",Streaming,Tarjeta crédito
