Fecha,Descripción,Total,Category,Medio de pago
22/09/2023,Electrodoméstico,"ARS 2,361.00",Deco/Insumos,Tarjeta crédito
24/10/2024,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
04/11/2024,Ropa,"ARS 33,993.00",Ropa/Accesorios,Tarjeta crédito
15/11/2024,Artículo hogar,"ARS 2,101.00",Deco/Insumos,Pago compartido
11/12/2024,Regalo,"ARS 6,033.00",Regalos,Tarjeta crédito
21/12/2024,Regalo,"ARS 11,666.70",Regalos,Tarjeta crédito
23/12/2024,Electrodoméstico,"ARS 13,889.00",Deco/Insumos,Tarjeta crédito
04/01/2025,Ropa,"ARS 13,333.00",Ropa/Accesorios,Tarjeta crédito
04/01/2025,Ropa,"ARS 11,650.00",Ropa/Accesorios,Tarjeta crédito
04/01/2025,Ropa,"ARS 8,500.00",Ropa/Accesorios,Tarjeta crédito
05/01/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
10/01/2025,Ropa,"ARS 19,651.00",Ropa/Accesorios,Tarjeta crédito
25/02/2025,Streaming,"ARS 10,699.00",Streaming,Tarjeta crédito
03/03/2025,Streaming,"ARS 7,549.00",Streaming,Tarjeta crédito
15/03/2025,Electrodoméstico,"ARS 5,965.00",Deco/Insumos,Tarjeta crédito
21/03/2025,Streaming,"ARS 6,777.00",Streaming,Tarjeta crédito
22/03/2025,Mascotas,"ARS 6,850.00",Deco/Insumos,Tarjeta crédito
28/03/2025,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
29/03/2025,Mascotas,"ARS 26,150.00",Bendis,Tarjeta crédito
01/04/2025,Restaurante,"ARS 10,351.00",Resto/Cafe,Billetera virtual
01/04/2025,Mascotas,"ARS 3,151.00",Bendis,Billetera virtual
01/04/2025,Supermercado,ARS 45.00,Comida MD,Billetera virtual
01/04/2025,Transporte,"ARS 3,000.00",Transporte,Billetera virtual
01/04/2025,Telefonía móvil,"ARS 9,500.00",Servicio Básico,Billetera virtual
02/04/2025,Supermercado,"ARS 5,222.00",Supermercado,Pago compartido
02/04/2025,Restaurante,"ARS 5,750.00",Resto/Cafe,Billetera virtual
03/04/2025,Internet,"ARS 33,375.00",Servicio Básico,Tarjeta crédito
04/04/2025,Farmacia,"ARS 2,500.00",Salud,Pago compartido
05/04/2025,Supermercado,"ARS 73,831.00",Supermercado,Pago compartido
05/04/2025,Agip,"ARS 9,194.00",Servicio Básico,Pago compartido
05/04/2025,Metrogas,"ARS 5,134.00",Servicio Básico,Pago compartido
05/04/2025,Artículo hogar,"ARS 4,400.00",Deco/Insumos,Pago compartido
06/04/2025,Mantenimiento,"ARS 7,250.00",Auto,Billetera virtual
06/04/2025,Supermercado,"ARS 37,350.00",Supermercado,Billetera virtual
06/04/2025,Restaurante,"ARS 1,218.00",Resto/Cafe,Billetera virtual
07/04/2025,Alquiler y expensas,"ARS 354,000.00",Alquiler y Expensas,Billetera virtual
07/04/2025,Mascotas,"ARS 61,000.00",Bendis,Billetera virtual
07/04/2025,Consulta médica,"ARS 7,000.00",Salud,Billetera virtual
07/04/2025,Donación,"ARS 5,000.00",Donación,Billetera virtual
07/04/2025,Farmacia,"ARS 4,000.00",Salud,Billetera virtual
07/04/2025,Supermercado,"ARS 4,498.00",Supermercado,Billetera virtual
08/04/2025,Mascotas,"ARS 2,500.00",Bendis,Pago compartido
08/04/2025,Supermercado,ARS 28.00,Comida MD,Billetera virtual
08/04/2025,Supermercado,"ARS 4,000.00",Supermercado,Billetera virtual
09/04/2025,Supermercado,ARS 34.00,Comida MD,Billetera virtual
09/04/2025,Streaming,"ARS 2,491.00",Streaming,Tarjeta crédito
10/04/2025,Restaurante,"ARS 4,830.00",Comida MD,Billetera virtual
11/04/2025,Delivery,"ARS 12,589.00",Resto/Cafe,Tarjeta crédito
11/04/2025,Supermercado,"ARS 2,500.00",Resto/Cafe,Billetera virtual
11/04/2025,Donación,"ARS 2,000.00",Donación,Billetera virtual
11/04/2025,Restaurante,"ARS 2,710.00",Resto/Cafe,Billetera virtual
12/04/2025,Supermercado,"ARS 7,540.00",Supermercado,Pago compartido
12/04/2025,Restaurante,"ARS 11,800.00",Resto/Cafe,Billetera virtual
12/04/2025,Supermercado,"ARS 150,000.00",Ropa/Accesorios,Efectivo
13/04/2025,Supermercado,"ARS 2,400.00",Supermercado,Pago compartido
13/04/2025,Mascotas,"ARS 1,200.00",Bendis,Pago compartido
13/04/2025,Supermercado,"ARS 2,200.00",Supermercado,Billetera virtual
