Fecha,Descripción,Total,Category,Medio de pago
01/02/2025,Transporte,"ARS 1,200.00",Transporte,Billetera virtual
03/02/2025,Consulta médica,"ARS 6,500.00",Salud,Billetera virtual
04/02/2025,Restaurante,ARS 46.00,Resto/Cafe,Billetera virtual
04/02/2025,Alquiler y expensas,"ARS 370,000.00",Alquiler y Expensas,Billetera virtual
05/02/2025,Supermercado,ARS 53.00,Comida MD,Billetera virtual
06/02/2025,Restaurante,ARS 46.00,Resto/Cafe,Billetera virtual
07/02/2025,Restaurante,"ARS 6,900.00",Resto/Cafe,Billetera virtual
07/02/2025,Supermercado,"ARS 5,880.00",Comida MD,Billetera virtual
08/02/2025,Restaurante,"ARS 20,930.00",Recreación,Billetera virtual
08/02/2025,Regalo,"ARS 2,000.00",Recreación,Billetera virtual
08/02/2025,Supermercado,ARS 126.00,Recreación,Billetera virtual
08/02/2025,Supermercado,"ARS 23,500.00",Recreación,Billetera virtual
09/02/2025,Supermercado,"ARS 9,600.00",Supermercado,Billetera virtual
09/02/2025,Supermercado,"ARS 8,330.00",Recreación,Billetera virtual
10/02/2025,Educación,"ARS 7,247.00",Educación,Billetera virtual
14/02/2025,Consulta médica,"ARS 6,500.00",Salud,Billetera virtual
14/02/2025,Nafta,"ARS 3,000.00",Auto,Billetera virtual
14/02/2025,Nafta,"ARS 5,000.00",Auto,Billetera virtual
14/02/2025,Restaurante,"ARS 13,300.00",Resto/Cafe,Billetera virtual
14/02/2025,Donación,"ARS 5,000.00",Donación,Billetera virtual
15/02/2025,Deporte,"ARS 8,000.00",Deporte,Billetera virtual
15/02/2025,Supermercado,"ARS 5,596.00",Supermercado,Billetera virtual
15/02/2025,Deporte,"ARS 13,223.00",Deporte,Billetera virtual
15/02/2025,Supermercado,"ARS 2,150.00",Supermercado,Billetera virtual
15/02/2025,Supermercado,"ARS 2,375.00",Supermercado,Billetera virtual
16/02/2025,Mantenimiento,"ARS 6,000.00",Auto,Billetera virtual
16/02/2025,Restaurante,"ARS 2,400.00",Resto/Cafe,Billetera virtual
17/02/2025,Peaje,"ARS 1,600.00",Auto,Billetera virtual
17/02/2025,Recreación,"ARS 8,300.00",Comida MD,Billetera virtual
18/02/2025,Restaurante,"ARS 5,300.00",Resto/Cafe,Billetera virtual
18/02/2025,Restaurante,"ARS 5,300.00",Resto/Cafe,Billetera virtual
20/02/2025,Restaurante,"ARS 5,900.00",Resto/Cafe,Billetera virtual
21/02/2025,Restaurante,"ARS 6,050.00",Resto/Cafe,Billetera virtual
21/02/2025,Transporte,"ARS 3,100.00",Transporte,Billetera virtual
22/02/2025,Restaurante,"ARS 4,800.00",Resto/Cafe,Billetera virtual
23/02/2025,Ropa,"ARS 6,000.00",Ropa/Accesorios,Billetera virtual
24/02/2025,Nafta,"ARS 15,000.00",Auto,Billetera virtual
25/02/2025,Restaurante,"ARS 9,250.00",Resto/Cafe,Billetera virtual
28/03/2025,Supermercado,"ARS 2,150.00",Supermercado,Billetera virtual
06/02/2025,Deporte,"ARS 69,000.00",Deporte,Efectivo
01/09/2024,Artículo hogar,"ARS 2,754.50",Arreglos Casa,Pago compartido
15/11/2024,Artículo hogar,"ARS 2,101.00",Deco/Insumos,Pago compartido
24/12/2024,Mascotas,"ARS 17,780.00",Bendis,Pago compartido
05/01/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
01/02/2025,Supermercado,"ARS 10,600.00",Supermercado,Pago compartido
02/02/2025,Metrogas,"ARS 5,274.00",Servicio Básico,Pago compartido
02/02/2025,Agip,"ARS 7,661.00",Servicio Básico,Pago compartido
02/02/2025,Supermercado,"ARS 1,600.00",Supermercado,Pago compartido
