Fecha,Descripción,Total,Category,Medio de pago
22/09/2023,Electrodoméstico,"ARS 2,361.00",Deco/Insumos,Tarjeta crédito
01/09/2024,Aysa,"ARS 1,547.00",Servicio Básico,Pago compartido
01/09/2024,Artículo hogar,"ARS 2,754.50",Arreglos Casa,Pago compartido
01/09/2024,Libreria,"ARS 3,878.00",Educación,Tarjeta crédito
01/09/2024,Seguro,"ARS 31,519.00",Auto,Tarjeta crédito
24/10/2024,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
30/10/2024,Artículo hogar,"ARS 12,797.00",Deco/Insumos,Tarjeta crédito
01/11/2024,Artículo hogar,"ARS 15,015.00",Deco/Insumos,Pago compartido
04/11/2024,Ropa,"ARS 33,993.00",Ropa/Accesorios,Tarjeta crédito
08/11/2024,Ropa,"ARS 19,326.00",Ropa/Accesorios,Tarjeta crédito
13/11/2024,Salud,"ARS 13,330.00",Salud,Tarjeta crédito
15/11/2024,Artículo hogar,"ARS 2,101.00",Deco/Insumos,Pago compartido
20/11/2024,Farmacia,"ARS 14,705.00",Bienestar,Tarjeta crédito
20/11/2024,Ropa,"ARS 9,666.00",Ropa/Accesorios,Tarjeta crédito
28/11/2024,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
30/11/2024,Mantenimiento,"ARS 16,208.33",Auto,Tarjeta crédito
11/12/2024,Regalo,"ARS 6,033.00",Regalos,Tarjeta crédito
15/12/2024,Ropa,"ARS 16,000.00",Ropa/Accesorios,Tarjeta crédito
20/12/2024,Farmacia,"ARS 10,392.00",Bienestar,Tarjeta crédito
21/12/2024,Streaming,"ARS 5,132.00",Streaming,Tarjeta crédito
21/12/2024,Regalo,"ARS 15,665.34",Regalos,Tarjeta crédito
21/12/2024,Regalo,"ARS 11,330.00",Regalos,Tarjeta crédito
21/12/2024,Regalo,"ARS 11,666.70",Regalos,Tarjeta crédito
21/12/2024,Regalo,"ARS 8,166.68",Regalos,Tarjeta crédito
23/12/2024,Electrodoméstico,"ARS 13,889.00",Deco/Insumos,Tarjeta crédito
24/12/2024,Mascotas,"ARS 17,780.00",Bendis,Pago compartido
25/12/2024,Streaming,"ARS 5,299.00",Streaming,Tarjeta crédito
30/12/2024,Telefonía móvil,"ARS 9,000.00",Servicio Básico,Pago compartido
30/12/2024,Farmacia,"ARS 51,590.00",Salud,Pago compartido
01/01/2025,Supermercado,"ARS 3,500.00",Supermercado,Billetera virtual
01/01/2025,Amuerzo,"ARS 7,000.00",Comida MD,Billetera virtual
02/01/2025,Internet,"ARS 8,375.00",Servicio Básico,Tarjeta crédito
02/01/2025,Donación,"ARS 5,000.00",Donación,Billetera virtual
02/01/2025,Restaurante,ARS 118.00,Resto/Cafe,Billetera virtual
03/01/2025,Restaurante,"ARS 19,100.00",Resto/Cafe,Billetera virtual
04/01/2025,Ropa,ARS 0.00,Ropa/Accesorios,Tarjeta crédito
04/01/2025,Ropa,ARS 0.00,Ropa/Accesorios,Tarjeta crédito
04/01/2025,Ropa,ARS 0.00,Ropa/Accesorios,Tarjeta crédito
04/01/2025,Supermercado,ARS 750.00,Supermercado,Tarjeta débito
05/01/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
06/01/2025,Metrogas,"ARS 8,266.00",Servicio Básico,Pago compartido
06/01/2025,Streaming,"ARS 5,435.00",Streaming,Tarjeta crédito
06/01/2025,Restaurante,ARS 49.00,Resto/Cafe,Billetera virtual
06/01/2025,Supermercado,"ARS 5,000.00",Supermercado,Pago compartido
06/01/2025,Consulta médica,"ARS 12,000.00",Salud,Billetera virtual
07/01/2025,Supermercado,"ARS 10,500.00",Deco/Insumos,Tarjeta crédito
07/01/2025,Restaurante,ARS 55.00,Comida MD,Billetera virtual
08/01/2025,Supermercado,"ARS 5,200.00",Bendis,Billetera virtual
