Fecha,Descripción,Total,Category,Medio de pago
15/11/2024,Artículo hogar,"ARS 2,101.00",Deco/Insumos,Pago compartido
23/12/2024,Electrodoméstico,"ARS 13,889.00",Deco/Insumos,Tarjeta crédito
05/01/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
15/03/2025,Electrodoméstico,"ARS 5,965.00",Deco/Insumos,Tarjeta crédito
17/04/2025,Ropa,"ARS 40,950.00",Ropa/Accesorios,Tarjeta crédito
17/04/2025,Ropa,"ARS 38,037.00",Ropa/Accesorios,Tarjeta crédito
03/05/2025,Streaming,"ARS 7,549.00",Streaming,Tarjeta crédito
09/05/2025,Streaming,"ARS 2,491.00",Streaming,Tarjeta crédito
30/05/2025,Internet,"ARS 42,103.00",Servicio Básico,Tarjeta crédito
01/06/2025,Regalo,"ARS 11,667.00",Regalos,Tarjeta crédito
19/06/2025,Streaming,"ARS 7,497.00",Streaming,Tarjeta crédito
24/06/2025,Recreación,"ARS 7,253.00",Recreación,Tarjeta crédito
27/06/2025,Libreria,"ARS 48,389.00",Educación,Tarjeta crédito
01/07/2025,Farmacia,"ARS 4,570.00",Salud,Pago compartido
01/07/2025,Supermercado,"ARS 2,000.00",Supermercado,Pago compartido
01/07/2025,Mascotas,"ARS 24,500.00",Bendis,Pago compartido
02/07/2025,Educación,"ARS 1,800.00",Educación,Tarjeta crédito
02/07/2025,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
02/07/2025,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
03/07/2025,Supermercado,"ARS 5,985.00",Supermercado,Billetera virtual
03/07/2025,Alquiler y expensas,"ARS 517,689.00",Alquiler y Expensas,Billetera virtual
04/07/2025,VTV,"ARS 31,731.00",Auto,Pago compartido
04/07/2025,Supermercado,"ARS 6,588.00",Supermercado,Pago compartido
04/07/2025,Artículo hogar,"ARS 67,885.00",Deco/Insumos,Tarjeta crédito
04/07/2025,Peaje,"ARS 3,450.00",Auto,Billetera virtual
04/07/2025,Seguro,"ARS 43,787.00",Auto,Tarjeta crédito
05/07/2025,Metrogas,"ARS 10,650.00",Servicio Básico,Pago compartido
05/07/2025,Restaurante,"ARS 9,400.00",Resto/Cafe,Pago compartido
05/07/2025,Supermercado,"ARS 1,881.00",Supermercado,Billetera virtual
05/07/2025,Supermercado,"ARS 3,500.00",Supermercado,Billetera virtual
05/07/2025,Supermercado,"ARS 2,717.00",Supermercado,Billetera virtual
06/07/2025,Supermercado,"ARS 2,249.00",Supermercado,Pago compartido
06/07/2025,Supermercado,"ARS 3,050.00",Supermercado,Pago compartido
06/07/2025,Artículo hogar,"ARS 5,900.00",Bienestar,Billetera virtual
06/07/2025,Farmacia,"ARS 18,589.00",Bienestar,Billetera virtual
07/07/2025,Patente,"ARS 8,489.00",Auto,Pago compartido
07/07/2025,Supermercado,"ARS 1,800.00",Resto/Cafe,Billetera virtual
07/07/2025,Restaurante,"ARS 8,400.00",Resto/Cafe,Billetera virtual
07/07/2025,Transporte,"ARS 11,400.00",Transporte,Billetera virtual
07/07/2025,Farmacia,"ARS 3,291.00",Salud,Billetera virtual
08/07/2025,Transporte,"ARS 10,000.00",Transporte,Billetera virtual
08/07/2025,Supermercado,"ARS 5,400.00",Comida MD,Billetera virtual
09/07/2025,Mantenimiento,"ARS 7,000.00",Auto,Billetera virtual
09/07/2025,Bienestar,"ARS 330,000.00",Bienestar,Billetera virtual
09/07/2025,Supermercado,"ARS 6,500.00",Supermercado,Billetera virtual
10/07/2025,Farmacia,"ARS 3,500.00",Salud,Pago compartido
10/07/2025,Mascotas,"ARS 15,000.00",Bendis,Billetera virtual
10/07/2025,Almuerzo,"ARS 5,000.00",Comida MD,Billetera virtual
11/07/2025,Supermercado,"ARS 1,250.00",Supermercado,Pago compartido
11/07/2025,Supermercado,"ARS 60,347.00",Supermercado,Pago compartido
12/07/2025,Regalo,"ARS 24,900.00",Regalos,Tarjeta débito
12/07/2025,Restaurante,"ARS 9,100.00",Resto/Cafe,Billetera virtual
12/07/2025,Regalo,"ARS 25,000.00",Regalos,Billetera virtual
12/07/2025,Regalo,"ARS 30,000.00",Regalos,Billetera virtual
12/07/2025,Telefonía móvil,"ARS 10,300.00",Servicio Básico,Billetera virtual
13/07/2025,Supermercado,"ARS 5,000.00",Supermercado,Pago compartido
13/07/2025,Restaurante,"ARS 3,000.00",Resto/Cafe,Billetera virtual
13/07/2025,Restaurante,"ARS 1,950.00",Resto/Cafe,Billetera virtual
13/07/2025,Recreación,"ARS 13,000.00",Recreación,Billetera virtual
13/07/2025,Restaurante,"ARS 2,800.00",Resto/Cafe,Billetera virtual
14/07/2025,Educación,"ARS 1,500.00",Educación,Tarjeta crédito
15/07/2025,Farmacia,"ARS 2,500.00",Salud,Pago compartido
15/07/2025,Restaurante,"ARS 10,159.00",Resto/Cafe,Billetera virtual
15/07/2025,Restaurante,"ARS 18,912.00",Resto/Cafe,Billetera virtual
16/07/2025,Supermercado,"ARS 5,250.00",Comida MD,Billetera virtual
17/07/2025,Aysa,"ARS 13,708.00",Servicio Básico,Pago compartido
17/07/2025,Edesur,"ARS 7,055.00",Servicio Básico,Pago compartido
17/07/2025,Restaurante,"ARS 10,800.00",Resto/Cafe,Billetera virtual
18/07/2025,Seguro,"ARS 1,424.00",Auto,Tarjeta crédito
18/07/2025,Supermercado,"ARS 3,550.00",Supermercado,Pago compartido
18/07/2025,Nafta,"ARS 16,500.00",Auto,Billetera virtual
18/07/2025,Mascotas,"ARS 4,365.00",Bendis,Billetera virtual
19/07/2025,Streaming,"ARS 7,497.00",Streaming,Tarjeta crédito
21/07/2025,Regalo,"ARS 30,501.00",Regalos,Billetera virtual
21/07/2025,Restaurante,"ARS 2,700.00",Resto/Cafe,Billetera virtual
21/07/2025,Transporte,"ARS 2,300.00",Transporte,Billetera virtual
22/07/2025,Consulta médica,"ARS 14,000.00",Salud,Billetera virtual
