Fecha,Descripción,Total,Category,Medio de pago
15/11/2024,Artículo hogar,"ARS 2,101.00",Deco/Insumos,Pago compartido
21/12/2024,Regalo,"ARS 11,666.70",Regalos,Tarjeta crédito
23/12/2024,Electrodoméstico,"ARS 13,889.00",Deco/Insumos,Tarjeta crédito
04/01/2025,Ropa,"ARS 13,333.00",Ropa/Accesorios,Tarjeta crédito
04/01/2025,Ropa,"ARS 8,500.00",Ropa/Accesorios,Tarjeta crédito
04/01/2025,Ropa,"ARS 11,650.00",Ropa/Accesorios,Tarjeta crédito
05/01/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
10/01/2025,Ropa,"ARS 19,651.00",Ropa/Accesorios,Tarjeta crédito
15/03/2025,Electrodoméstico,"ARS 5,965.00",Deco/Insumos,Tarjeta crédito
16/04/2025,Artículo hogar,"ARS 3,833.00",Deco/Insumos,Tarjeta crédito
17/04/2025,Ropa,"ARS 40,950.00",Ropa/Accesorios,Tarjeta crédito
17/04/2025,Ropa,"ARS 38,037.00",Ropa/Accesorios,Tarjeta crédito
03/05/2025,Streaming,"ARS 7,549.00",Streaming,Tarjeta crédito
07/05/2025,Telefonía móvil,"ARS 10,300.00",Servicio Básico,Billetera virtual
09/05/2025,Streaming,"ARS 2,491.00",Streaming,Tarjeta crédito
20/05/2025,Streaming,"ARS 7,497.00",Streaming,Tarjeta crédito
27/05/2025,Artículo hogar,"ARS 98,323.00",Deco/Insumos,Tarjeta crédito
30/05/2025,Delivery,"ARS 12,079.00",Resto/Cafe,Tarjeta crédito
30/05/2025,Internet,"ARS 35,510.00",Servicio Básico,Tarjeta crédito
01/06/2025,Supermercado,"ARS 25,000.00",Supermercado,Pago compartido
01/06/2025,Mascotas,"ARS 43,446.00",Bendis,Pago compartido
01/06/2025,Agip,"ARS 9,194.00",Servicio Básico,Pago compartido
01/06/2025,Metrogas,"ARS 10,759.00",Servicio Básico,Pago compartido
01/06/2025,Alquiler y expensas,"ARS 517,638.00",Alquiler y Expensas,Billetera virtual
01/06/2025,Regalo,"ARS 11,667.00",Regalos,Tarjeta crédito
01/06/2025,Supermercado,"ARS 13,239.00",Supermercado,Pago compartido
01/06/2025,Ropa,"ARS 5,000.00",Ropa/Accesorios,Efectivo
02/06/2025,Supermercado,"ARS 1,950.00",Supermercado,Pago compartido
02/06/2025,Supermercado,"ARS 5,000.00",Comida MD,Billetera virtual
02/06/2025,Deporte,"ARS 76,000.00",Deporte,Efectivo
03/06/2025,Supermercado,"ARS 4,400.00",Supermercado,Pago compartido
03/06/2025,Consulta médica,"ARS 14,000.00",Salud,Billetera virtual
03/06/2025,Supermercado,"ARS 6,016.00",Supermercado,Billetera virtual
04/06/2025,Supermercado,"ARS 5,000.00",Comida MD,Billetera virtual
04/06/2025,Seguro,"ARS 40,663.00",Auto,Tarjeta crédito
05/06/2025,Supermercado,"ARS 2,600.00",Supermercado,Pago compartido
05/06/2025,Donación,"ARS 5,000.00",Donación,Billetera virtual
05/06/2025,Mascotas,"ARS 15,000.00",Bendis,Pago compartido
05/06/2025,Mantenimiento,"ARS 30,000.00",Arreglos Casa,Billetera virtual
06/06/2025,Delivery,"ARS 9,517.00",Resto/Cafe,Pago compartido
07/06/2025,Mascotas,"ARS 22,640.00",Bendis,Pago compartido
07/06/2025,Restaurante,"ARS 4,250.00",Resto/Cafe,Pago compartido
07/06/2025,Supermercado,"ARS 73,746.00",Supermercado,Pago compartido
10/06/2025,Almuerzo,"ARS 5,000.00",Comida MD,Billetera virtual
10/06/2025,Ropa,"ARS 20,000.00",Ropa/Accesorios,Billetera virtual
10/06/2025,Restaurante,"ARS 3,800.00",Resto/Cafe,Billetera virtual
10/06/2025,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
10/06/2025,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
12/06/2025,Restaurante,"ARS 14,500.00",Resto/Cafe,Billetera virtual
12/06/2025,Mascotas,"ARS 24,000.00",Bendis,Billetera virtual
13/06/2025,Supermercado,"ARS 7,100.00",Supermercado,Pago compartido
13/06/2025,Restaurante,"ARS 8,900.00",Resto/Cafe,Billetera virtual
13/06/2025,Farmacia,"ARS 1,500.00",Bienestar,Billetera virtual
13/06/2025,Supermercado,"ARS 2,500.00",Supermercado,Billetera virtual
14/06/2025,Educación,"ARS 1,800.00",Educación,Tarjeta crédito
14/06/2025,Peajes,"ARS 3,716.00",Auto,Billetera virtual
14/06/2025,Nafta,"ARS 15,000.00",Auto,Billetera virtual
14/06/2025,Regalo,"ARS 51,800.00",Regalos,Billetera virtual
15/06/2025,Artículo hogar,"ARS 4,500.00",Deco/Insumos,Billetera virtual
15/06/2025,Restaurante,"ARS 9,100.00",Resto/Cafe,Billetera virtual
16/06/2025,Supermercado,"ARS 3,000.00",Resto/Cafe,Billetera virtual
16/06/2025,Supermercado,"ARS 42,375.00",Supermercado,Billetera virtual
17/06/2025,Mantenimiento,"ARS 30,000.00",Auto,Pago compartido
18/06/2025,Supermercado,"ARS 2,700.00",Supermercado,Billetera virtual
18/06/2025,Bienestar,"ARS 4,000.00",Bienestar,Billetera virtual
18/06/2025,Restaurante,"ARS 5,200.00",Comida MD,Billetera virtual
19/06/2025,Supermercado,"ARS 2,100.00",Supermercado,Pago compartido
19/06/2025,Supermercado,"ARS 1,500.00",Supermercado,Pago compartido
20/06/2025,Supermercado,"ARS 3,525.00",Supermercado,Billetera virtual
20/06/2025,Mascotas,"ARS 5,000.00",Bendis,Billetera virtual
20/06/2025,Ropa,"ARS 23,000.00",Ropa/Accesorios,Billetera virtual
20/06/2025,Artículo hogar,"ARS 2,500.00",Deco/Insumos,Billetera virtual
20/06/2025,Supermercado,"ARS 1,998.00",Supermercado,Pago compartido
21/06/2025,Artículo hogar,"ARS 7,500.00",Deco/Insumos,Billetera virtual
21/06/2025,Restaurante,"ARS 14,600.00",Resto/Cafe,Billetera virtual
21/06/2025,Restaurante,"ARS 23,635.00",Supermercado,Pago compartido
22/06/2025,Supermercado,"ARS 2,800.00",Resto/Cafe,Billetera virtual
22/06/2025,Aysa,"ARS 13,577.00",Servicio Básico,Pago compartido
22/06/2025,Edesur,"ARS 4,024.00",Servicio Básico,Pago compartido
22/06/2025,Farmacia,"ARS 7,424.00",Bienestar,Pago compartido
22/06/2025,Supermercado,"ARS 3,082.00",Supermercado,Pago compartido
23/06/2025,Consulta médica,"ARS 7,000.00",Salud,Billetera virtual
23/06/2025,Supermercado,"ARS 2,150.00",Supermercado,Pago compartido
24/06/2025,Mascotas,"ARS 20,363.00",Bendis,Billetera virtual
24/06/2025,Supermercado,"ARS 5,000.00",Resto/Cafe,Billetera virtual
24/06/2025,Farmacia,"ARS 3,000.00",Salud,Pago compartido
25/06/2025,Transporte,"ARS 3,000.00",Recreación,Billetera virtual
27/06/2025,Restaurante,"ARS 11,000.00",Resto/Cafe,Billetera virtual
27/06/2025,Donación,"ARS 5,000.00",Donación,Billetera virtual
28/06/2025,Artículo hogar,"ARS 7,250.00",Deporte,Pago compartido
28/06/2025,Supermercado,"ARS 14,000.00",Supermercado,Pago compartido
28/06/2025,Supermercado,"ARS 19,365.00",Supermercado,Pago compartido
29/06/2025,Nafta,"ARS 15,000.00",Auto,Pago compartido
29/06/2025,Supermercado,"ARS 5,149.00",Supermercado,Billetera virtual
29/06/2025,Restaurante,"ARS 18,700.00",Resto/Cafe,Billetera virtual
29/06/2025,Deporte,"ARS 7,000.00",Deporte,Billetera virtual
