Fecha,Descripción,Total,Category,Medio de pago
22/09/2023,Panera 17/18,"ARS 2,361.00",Deco/Insumos,Tarjeta crédito
01/09/2024,Tapa de baño 12/12,"ARS 2,754.50",Arreglos Casa,Pago Compartido
24/10/2024,Chat GPT,"ARS 20,000.00",Educación,Tarjeta crédito
04/11/2024,Cuesta blanca 5/6,"ARS 33,993.00",Ropa/Accesorios,Tarjeta crédito
15/11/2024,Cortinas 5/9,"ARS 2,101.00",Deco/Insumos,Pago Compartido
11/12/2024,Agenda para mi 4/6,"ARS 6,033.00",Regalos,Tarjeta crédito
21/12/2024,Onda Shop Nenas Reg 3/3,"ARS 15,665.34",Regalos,Tarjeta crédito
21/12/2024,Simona Luli Reg 3/3,"ARS 11,330.00",Regalos,Tarjeta crédito
21/12/2024,Cultura  Gera Reg  3/6,"ARS 11,666.70",Regalos,Tarjeta crédito
21/12/2024,Liceo Depor Poli Reg 3/3,"ARS 8,166.68",Regalos,Tarjeta crédito
23/12/2024,Aspiradora Robot 4/18,"ARS 13,889.00",Deco/Insumos,Tarjeta crédito
04/01/2025,OCV Buzo 3/6,"ARS 8,500.00",Ropa/Accesorios,Tarjeta crédito
04/01/2025,Open Sport Zapas 3/6,"ARS 11,650.00",Ropa/Accesorios,Tarjeta crédito
04/01/2025,Open sport Zapas 3/6,"ARS 13,333.00",Ropa/Accesorios,Tarjeta crédito
05/01/2025,Sabanas 3/12,"ARS 5,500.00",Deco/Insumos,Pago Compartido
10/01/2025,Wanama 3/6,"ARS 19,651.00",Ropa/Accesorios,Tarjeta crédito
17/01/2025,Prime,"ARS 6,291.00",Streaming,Tarjeta crédito
25/02/2025,Disney,"ARS 5,299.00",Streaming,Tarjeta crédito
28/02/2025,Pizza,"ARS 16,000.00",Resto/Cafe,Tarjeta débito
01/03/2025,Regalo de Mel,"ARS 25,000.00",Regalos,Tarjeta débito
01/03/2025,Bocaditos Nolah,"ARS 1,600.00",Bendis,Billetera virtual
01/03/2025,Verduleria,"ARS 9,915.00",Supermercado,Billetera virtual
01/03/2025,P4P,"ARS 5,000.00",Donación,Billetera virtual
01/03/2025,Co pain,ARS 82.00,Resto/Cafe,Billetera virtual
01/03/2025,Atrapa sueños,"ARS 6,000.00",Deco/Insumos,Billetera virtual
01/03/2025,Ratoncitos,"ARS 3,000.00",Bendis,Billetera virtual
01/03/2025,Anillo y pulsera,"ARS 6,800.00",Bienestar,Billetera virtual
02/03/2025,Panaderia,ARS 48.00,Resto/Cafe,Billetera virtual
02/03/2025,Spotify,"ARS 2,491.00",Streaming,Tarjeta crédito
03/03/2025,Cine,"ARS 11,900.00",Recreación,Tarjeta crédito
03/03/2025,Netflix,"ARS 7,549.00",Streaming,Tarjeta crédito
04/03/2025,Tuenti,"ARS 9,500.00",Servicio Básico,Billetera virtual
04/03/2025,Panaderia,ARS 75.00,Resto/Cafe,Billetera virtual
05/03/2025,Verduleria,"ARS 5,750.00",Supermercado,Billetera virtual
05/03/2025,Panaderia,ARS 45.00,Comida MD,Billetera virtual
06/03/2025,Carrefour,ARS 30.00,Supermercado,Billetera virtual
07/03/2025,El imaginario bar,"ARS 12,941.00",Resto/Cafe,Billetera virtual
07/03/2025,Panaderia,ARS 45.00,Comida MD,Billetera virtual
08/03/2025,Pase libre boulder,"ARS 7,700.00",Deporte,Billetera virtual
08/03/2025,Alquiler y expensas,"ARS 353,000.00",Alquiler y Expensas,Billetera virtual
08/03/2025,Vivero Cafe,"ARS 10,300.00",Resto/Cafe,Billetera virtual
08/03/2025,Cremolatti,ARS 48.00,Resto/Cafe,Billetera virtual
08/03/2025,Uber,"ARS 6,200.00",Transporte,Billetera virtual
09/03/2025,Agip,"ARS 7,661.00",Servicio Básico,Pago Compartido
09/03/2025,Metrogas,"ARS 5,158.00",Servicio Básico,Pago Compartido
09/03/2025,Juego de mente,"ARS 2,000.00",Bienestar,Billetera virtual
09/03/2025,Velitas,"ARS 1,250.00",Deco/Insumos,Billetera virtual
09/03/2025,Bolsitas,ARS 600.00,Bendis,Billetera virtual
09/03/2025,Aromatizantes,"ARS 2,500.00",Arreglos Casa,Billetera virtual
11/03/2025,Cafe,ARS 35.00,Resto/Cafe,Billetera virtual
12/03/2025,Panaderia,ARS 25.00,Resto/Cafe,Billetera virtual
12/03/2025,Vitalcer,ARS 167.00,Supermercado,Billetera virtual
12/03/2025,Farmacity,"ARS 8,618.00",Salud,Billetera virtual
12/03/2025,Cafe,"ARS 3,500.00",Resto/Cafe,Billetera virtual
13/03/2025,Panaderia,ARS 45.00,Comida MD,Billetera virtual
13/03/2025,Cafe,ARS 35.00,Resto/Cafe,Billetera virtual
14/03/2025,Blest,"ARS 27,700.00",Resto/Cafe,Billetera virtual
14/03/2025,Bocaditos,"ARS 1,800.00",Bendis,Billetera virtual
14/03/2025,Chino,"ARS 4,650.00",Comida MD,Billetera virtual
15/03/2025,Chino,"ARS 4,350.00",Supermercado,Pago Compartido
15/03/2025,Pan,"ARS 2,500.00",Supermercado,Pago Compartido
15/03/2025,Cremolatti,ARS 78.00,Resto/Cafe,Billetera virtual
15/03/2025,Panaderia,ARS 16.00,Resto/Cafe,Billetera virtual
15/03/2025,Super,"ARS 2,800.00",Supermercado,Billetera virtual
15/03/2025,Sube,"ARS 3,000.00",Transporte,Billetera virtual
15/03/2025,Cafetera 1/18,"ARS 5,965.00",Deco/Insumos,Tarjeta crédito
16/03/2025,Nafta,"ARS 10,000.00",Auto,Pago Compartido
17/03/2025,Psicologa,"ARS 6,500.00",Salud,Billetera virtual
17/03/2025,Panaderia,ARS 60.00,Resto/Cafe,Billetera virtual
18/03/2025,Vete Verna,"ARS 28,000.00",Bendis,Billetera virtual
18/03/2025,Benahim,"ARS 9,495.00",Resto/Cafe,Billetera virtual
18/03/2025,Panaderia,ARS 45.00,Resto/Cafe,Billetera virtual
18/03/2025,Seguro del auto,"ARS 31,519.00",Auto,Tarjeta crédito
19/03/2025,Max,"ARS 6,777.00",Streaming,Tarjeta crédito
20/03/2025,Pase 8 clases,"ARS 69,000.00",Deporte,Billetera virtual
20/03/2025,Vermu con Sol,"ARS 9,750.00",Resto/Cafe,Billetera virtual
20/03/2025,Cafe,"ARS 6,700.00",Resto/Cafe,Billetera virtual
21/03/2025,Verdu,"ARS 7,800.00",Supermercado,Pago Compartido
21/03/2025,Casper sobrecito,"ARS 2,405.00",Bendis,Billetera virtual
21/03/2025,Panaderia,ARS 55.00,Resto/Cafe,Billetera virtual
21/03/2025,Estudio hospital Italiano,"ARS 100,000.00",Salud,Tarjeta crédito
22/03/2025,Radiografia,"ARS 19,000.00",Bendis,Pago Compartido
22/03/2025,Edesur,"ARS 13,284.00",Servicio Básico,Pago Compartido
22/03/2025,Aysa,"ARS 6,997.00",Servicio Básico,Pago Compartido
22/03/2025,Le panem,"ARS 2,100.00",Supermercado,Pago Compartido
22/03/2025,Chino,"ARS 31,200.00",Supermercado,Pago Compartido
22/03/2025,Uber,"ARS 4,490.00",Transporte,Billetera virtual
22/03/2025,Bocaditos,"ARS 1,800.00",Bendis,Billetera virtual
22/03/2025,Empanadas,"ARS 4,000.00",Supermercado,Billetera virtual
22/03/2025,Pettish Carrito 1/3,"ARS 6,850.00",Deco/Insumos,Tarjeta crédito
23/03/2025,Taxi,"ARS 6,440.00",Transporte,Billetera virtual
23/03/2025,Cumple Emi,"ARS 11,600.00",Resto/Cafe,Billetera virtual
24/03/2025,Cremolatti,"ARS 3,603.00",Resto/Cafe,Billetera virtual
24/03/2025,Carrefour,ARS 213.00,Supermercado,Billetera virtual
25/03/2025,Ecografia,"ARS 19,000.00",Bendis,Billetera virtual
25/03/2025,Chino,"ARS 4,850.00",Supermercado,Billetera virtual
