Fecha,Descripción,Total,Category,Medio de pago
24/10/2024,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
15/11/2024,Artículo hogar,"ARS 2,101.00",Deco/Insumos,Pago compartido
11/12/2024,Regalo,"ARS 6,033.00",Regalos,Tarjeta crédito
21/12/2024,Regalo,"ARS 11,666.70",Regalos,Tarjeta crédito
23/12/2024,Electrodoméstico,"ARS 13,889.00",Deco/Insumos,Tarjeta crédito
04/01/2025,Ropa,"ARS 8,500.00",Ropa/Accesorios,Tarjeta crédito
04/01/2025,Ropa,"ARS 11,650.00",Ropa/Accesorios,Tarjeta crédito
04/01/2025,Ropa,"ARS 13,333.00",Ropa/Accesorios,Tarjeta crédito
05/01/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
10/01/2025,Ropa,"ARS 19,651.00",Ropa/Accesorios,Tarjeta crédito
15/03/2025,Restaurante,"ARS 5,965.00",Deco/Insumos,Tarjeta crédito
22/03/2025,Artículo hogar,"ARS 6,850.00",Deco/Insumos,Tarjeta crédito
28/03/2025,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
16/04/2025,Artículo hogar,"ARS 3,833.00",Deco/Insumos,Tarjeta crédito
17/04/2025,Ropa,"ARS 40,950.00",Ropa/Accesorios,Tarjeta crédito
17/04/2025,Ropa,"ARS 38,037.00",Ropa/Accesorios,Tarjeta crédito
01/05/2025,Supermercado,"ARS 2,900.00",Supermercado,Pago compartido
01/05/2025,Deporte,"ARS 69,000.00",Deporte,Efectivo
01/05/2025,Restaurante,"ARS 10,450.00",Resto/Cafe,Billetera virtual
02/05/2025,Supermercado,"ARS 1,998.00",Supermercado,Billetera virtual
02/05/2025,Supermercado,"ARS 5,600.00",Resto/Cafe,Billetera virtual
02/05/2025,Supermercado,"ARS 10,689.00",Supermercado,Billetera virtual
02/05/2025,Artículo hogar,"ARS 1,650.00",Arreglos Casa,Billetera virtual
02/05/2025,Recreación,"ARS 10,000.00",Recreación,Billetera virtual
02/05/2025,Recreación,"ARS 11,000.00",Bienestar,Billetera virtual
03/05/2025,Restaurante,"ARS 19,950.00",Resto/Cafe,Billetera virtual
03/05/2025,Restaurante,"ARS 2,500.00",Resto/Cafe,Billetera virtual
03/05/2025,Streaming,"ARS 7,549.00",Streaming,Tarjeta crédito
03/05/2025,Internet,"ARS 36,946.00",Servicio Básico,Tarjeta crédito
05/05/2025,Metrogas,"ARS 5,193.00",Servicio Básico,Pago compartido
05/05/2025,Supermercado,"ARS 13,050.00",Supermercado,Billetera virtual
05/05/2025,Artículo hogar,"ARS 16,000.00",Arreglos Casa,Billetera virtual
05/05/2025,Nafta,"ARS 10,000.00",Auto,Billetera virtual
05/05/2025,Consulta médica,"ARS 7,000.00",Salud,Transferencia bancaria
05/05/2025,Regalo,"ARS 46,125.00",Regalos,Billetera virtual
06/05/2025,Regalo,"ARS 35,000.00",Regalos,Efectivo
07/05/2025,Agip,"ARS 9,194.00",Servicio Básico,Pago compartido
07/05/2025,Supermercado,ARS 845.00,Supermercado,Billetera virtual
07/05/2025,Telefonía móvil,"ARS 9,500.00",Servicio Básico,Billetera virtual
08/05/2025,Supermercado,"ARS 77,869.00",Supermercado,Pago compartido
08/05/2025,Supermercado,"ARS 5,000.00",Comida MD,Billetera virtual
08/05/2025,Alquiler y expensas,"ARS 641,991.00",Alquiler y Expensas,Billetera virtual
09/05/2025,Restaurante,"ARS 5,000.00",Resto/Cafe,Billetera virtual
09/05/2025,Supermercado,"ARS 1,800.00",Supermercado,Billetera virtual
09/05/2025,Streaming,"ARS 2,491.00",Streaming,Tarjeta crédito
10/05/2025,Aysa,"ARS 13,442.00",Servicio Básico,Pago compartido
10/05/2025,Supermercado,"ARS 2,800.00",Supermercado,Pago compartido
10/05/2025,Supermercado,"ARS 1,500.00",Resto/Cafe,Billetera virtual
11/05/2025,Artículo hogar,"ARS 2,750.00",Arreglos Casa,Billetera virtual
12/05/2025,Mascotas,"ARS 30,000.00",Bendis,Billetera virtual
12/05/2025,Supermercado,"ARS 2,800.00",Supermercado,Billetera virtual
12/05/2025,Donación,"ARS 5,000.00",Donación,Billetera virtual
12/05/2025,Supermercado,"ARS 3,195.00",Supermercado,Billetera virtual
12/05/2025,Supermercado,"ARS 4,000.00",Supermercado,Billetera virtual
13/05/2025,Edesur,"ARS 17,343.00",Servicio Básico,Pago compartido
13/05/2025,Restaurante,"ARS 8,926.00",Resto/Cafe,Billetera virtual
14/05/2025,Educación,ARS 890.00,Educación,Tarjeta crédito
14/05/2025,Supermercado,"ARS 4,800.00",Supermercado,Billetera virtual
14/05/2025,Supermercado,"ARS 6,080.00",Supermercado,Billetera virtual
15/05/2025,Nafta,"ARS 10,000.00",Auto,Billetera virtual
16/05/2025,Farmacia,"ARS 20,000.00",Bienestar,Billetera virtual
16/05/2025,Farmacia,"ARS 21,000.00",Regalos,Billetera virtual
16/05/2025,Supermercado,"ARS 3,485.00",Supermercado,Billetera virtual
17/05/2025,Artículo hogar,"ARS 5,200.00",Deco/Insumos,Pago compartido
17/05/2025,Supermercado,"ARS 7,895.00",Supermercado,Billetera virtual
17/05/2025,Supermercado,"ARS 26,550.00",Supermercado,Billetera virtual
18/05/2025,Seguro,"ARS 38,366.00",Auto,Tarjeta crédito
19/05/2025,Almuerzo,"ARS 5,000.00",Comida MD,Billetera virtual
19/05/2025,Mascotas,"ARS 7,000.00",Bendis,Billetera virtual
20/05/2025,Streaming,"ARS 7,497.00",Streaming,Tarjeta crédito
20/05/2025,Mascotas,"ARS 1,961.00",Bendis,Billetera virtual
20/05/2025,Restaurante,"ARS 10,000.00",Resto/Cafe,Billetera virtual
21/05/2025,Libreria,"ARS 28,900.00",Bienestar,Tarjeta crédito
21/05/2025,Restaurante,"ARS 8,900.00",Comida MD,Billetera virtual
21/05/2025,Mascotas,"ARS 59,750.00",Bendis,Billetera virtual
22/05/2025,Deporte,"ARS 12,500.00",Deporte,Billetera virtual
23/05/2025,Supermercado,"ARS 5,085.00",Supermercado,Billetera virtual
23/05/2025,Supermercado,"ARS 1,500.00",Supermercado,Billetera virtual
23/05/2025,Farmacia,"ARS 3,000.00",Salud,Billetera virtual
23/05/2025,Mantenimiento,"ARS 40,000.00",Auto,Pago compartido
24/05/2025,Supermercado,"ARS 11,600.00",Supermercado,Pago compartido
24/05/2025,Supermercado,"ARS 5,200.00",Supermercado,Pago compartido
24/05/2025,Mascotas,"ARS 1,000.00",Bendis,Pago compartido
25/05/2025,Restaurante,"ARS 16,000.00",Resto/Cafe,Pago compartido
26/05/2025,Mascotas,"ARS 12,000.00",Bendis,Tarjeta crédito
26/05/2025,Supermercado,"ARS 6,700.00",Supermercado,Pago compartido
27/05/2025,Supermercado,"ARS 3,600.00",Supermercado,Billetera virtual
27/05/2025,Supermercado,"ARS 3,600.00",Supermercado,Billetera virtual
28/05/2025,Restaurante,ARS 450.00,Resto/Cafe,Billetera virtual
28/05/2025,Supermercado,"ARS 5,000.00",Supermercado,Billetera virtual
28/05/2025,Nafta,"ARS 12,500.00",Auto,Pago compartido
30/05/2025,Supermercado,"ARS 5,000.00",Resto/Cafe,Billetera virtual
30/05/2025,Restaurante,"ARS 2,400.00",Resto/Cafe,Billetera virtual
30/05/2025,Restaurante,"ARS 24,000.00",Resto/Cafe,Billetera virtual
31/05/2025,Mascotas,"ARS 3,500.00",Bendis,Billetera virtual
