Fecha,Descripción,Total Individual,Category,Medio de pago
23/12/2024,Electrodoméstico,"ARS 13,889.00",Deco/Insumos,Tarjeta crédito
05/01/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
15/03/2025,Electrodoméstico,"ARS 5,965.00",Deco/Insumos,Tarjeta crédito
01/06/2025,Regalo,"ARS 11,667.00",Regalos,Tarjeta crédito
24/06/2025,Regalo,"ARS 7,253.00",Recreación,Tarjeta crédito
01/09/2025,Artículo hogar,"ARS 9,553.00",Deco/Insumos,Pago compartido
01/09/2025,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
01/09/2025,Educación,"ARS 1,800.00",Educación,Tarjeta crédito
01/09/2025,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
04/10/2025,Ropa,"ARS 16,000.00",Ropa/Accesorios,Tarjeta crédito
23/10/2025,Streaming,"ARS 7,863.00",Streaming,Tarjeta crédito
29/10/2025,Supermercado,"ARS 3,615.00",Supermercado,Tarjeta crédito
31/10/2025,Internet,"ARS 26,725.00",Streaming,Tarjeta crédito
01/11/2025,Mascotas,"ARS 8,827.00",Supermercado,Pago compartido
01/11/2025,Supermercado,"ARS 19,400.00",Supermercado,Pago compartido
01/11/2025,Supermercado,"ARS 17,400.00",Supermercado,Pago compartido
01/11/2025,Seguro,"ARS 33,208.00",Auto,Pago compartido
01/11/2025,Restaurante,"ARS 4,000.00",Resto/Cafe,Billetera virtual
01/11/2025,Recreación,"ARS 15,500.00",Recreación,Billetera virtual
01/11/2025,Transporte,ARS 502.00,Transporte,Billetera virtual
02/11/2025,Metrogas,"ARS 11,196.00",Servicio Básico,Pago compartido
02/11/2025,Bienestar,"ARS 28,700.00",Bienestar,Billetera virtual
02/11/2025,Supermercado,"ARS 2,500.00",Supermercado,Billetera virtual
02/11/2025,Artículo hogar,"ARS 2,500.00",Deco/Insumos,Billetera virtual
03/11/2025,Farmacia,"ARS 13,226.00",Supermercado,Pago compartido
03/11/2025,Agip,"ARS 9,960.00",Servicio Básico,Pago compartido
03/11/2025,Artículo hogar,"ARS 7,042.00",Deco/Insumos,Tarjeta crédito
03/11/2025,Artículo hogar,"ARS 16,359.00",Deco/Insumos,Tarjeta crédito
03/11/2025,Alquiler y expensas,"ARS 470,000.00",Alquiler y Expensas,Billetera virtual
03/11/2025,Supermercado,"ARS 2,750.00",Supermercado,Billetera virtual
04/11/2025,Supermercado,"ARS 1,350.00",Supermercado,Pago compartido
04/11/2025,Mascotas,"ARS 12,000.00",Bendis,Pago compartido
04/11/2025,Bienestar,"ARS 17,500.00",Bienestar,Billetera virtual
04/11/2025,Supermercado,"ARS 3,000.00",Resto/Cafe,Billetera virtual
04/11/2025,Mascotas,"ARS 3,400.00",Bendis,Billetera virtual
04/11/2025,Mascotas,"ARS 20,000.00",Bendis,Billetera virtual
05/11/2025,Supermercado,"ARS 6,000.00",Resto/Cafe,Billetera virtual
05/11/2025,Delivey,"ARS 10,040.00",Resto/Cafe,Billetera virtual
05/11/2025,Mascotas,"ARS 17,500.00",Bendis,Billetera virtual
06/11/2025,Recreación,"ARS 9,900.00",Recreación,Billetera virtual
06/11/2025,Nafta,"ARS 15,000.00",Auto,Billetera virtual
06/11/2025,Supermercado,"ARS 3,800.00",Supermercado,Billetera virtual
06/11/2025,Streaming,"ARS 9,059.00",Streaming,Tarjeta crédito
07/11/2025,Supermercado,"ARS 3,000.00",Resto/Cafe,Billetera virtual
07/11/2025,Salud,"ARS 25,000.00",Salud,Billetera virtual
08/11/2025,Supermercado,ARS 900.00,Supermercado,Billetera virtual
