Fecha,Descripción,Total,Category,Medio de pago
01/09/2025,Alquiler y expensas ,"ARS 485,000.00",Alquiler y Expensas,Billetera virtual
01/09/2025,Supermercado,"ARS 14,350.00",Supermercado,Billetera virtual
02/09/2025,Mascotas,"ARS 5,100.00",Bendis,Billetera virtual
03/09/2025,Restaurante,"ARS 8,220.00",Resto/Cafe,Billetera virtual
04/09/2025,Mascotas,"ARS 20,000.00",Bendis,Billetera virtual
07/09/2025,Artículo hogar,"ARS 4,550.00",Bienestar,Billetera virtual
09/09/2025,Supermercado,"ARS 8,000.00",Resto/Cafe,Billetera virtual
09/09/2025,Consulta médica,"ARS 8,500.00",Salud,Billetera virtual
09/09/2025,Restaurante,"ARS 7,800.00",Resto/Cafe,Billetera virtual
10/09/2025,Supermercado,"ARS 15,650.00",Supermercado,Billetera virtual
11/09/2025,Restaurante,"ARS 9,870.00",Resto/Cafe,Billetera virtual
11/09/2025,Mascotas,"ARS 15,600.00",Bendis,Billetera virtual
12/09/2025,Telefonía móvil,"ARS 11,000.00",Servicio Básico,Billetera virtual
13/09/2025,Artículo hogar,ARS 600.00,Deco/Insumos,Billetera virtual
15/09/2025,Artículo hogar,"ARS 3,100.00",Deco/Insumos,Billetera virtual
15/09/2025,Mascotas,"ARS 4,500.00",Bendis,Billetera virtual
15/09/2025,Artículo hogar,"ARS 6,000.00",Deco/Insumos,Billetera virtual
17/09/2025,Supermercado,"ARS 4,775.00",Supermercado,Billetera virtual
17/09/2025,Restaurante,"ARS 9,020.00",Resto/Cafe,Billetera virtual
20/09/2025,Restaurante,"ARS 4,462.00",Resto/Cafe,Billetera virtual
20/09/2025,Restaurante,"ARS 7,150.00",Resto/Cafe,Billetera virtual
24/09/2025,Restaurante,"ARS 9,620.00",Resto/Cafe,Billetera virtual
24/09/2025,Restaurante,"ARS 2,100.00",Supermercado,Billetera virtual
26/09/2025,Almuerzo,"ARS 42,900.00",Resto/Cafe,Billetera virtual
27/09/2025,Restaurante,"ARS 16,300.00",Resto/Cafe,Billetera virtual
27/09/2025,Restaurante,"ARS 3,465.00",Resto/Cafe,Billetera virtual
28/09/2025,Supermercado,"ARS 8,605.00",Supermercado,Billetera virtual
28/09/2025,Artículo hogar,"ARS 8,750.00",Deco/Insumos,Billetera virtual
28/09/2025,Transporte,"ARS 10,848.00",Transporte,Billetera virtual
29/09/2025,Donación,"ARS 5,000.00",Donación,Billetera virtual
30/09/2025,Restaurante,"ARS 18,480.00",Resto/Cafe,Billetera virtual
06/09/2025,Deporte,"ARS 7,000.00",Deporte,Efectivo
15/09/2025,Deporte,"ARS 82,000.00",Deporte,Efectivo
05/01/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
10/08/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Pago compartido
01/09/2025,Metrogas,"ARS 10,104.00",Servicio Básico,Pago compartido
01/09/2025,Agip,"ARS 9,960.00",Servicio Básico,Pago compartido
01/09/2025,Nafta,"ARS 13,500.00",Auto,Pago compartido
04/09/2025,Supermercado,"ARS 5,000.00",Supermercado,Pago compartido
06/09/2025,Restaurante,"ARS 6,847.00",Resto/Cafe,Pago compartido
11/09/2025,Mascotas,"ARS 12,750.00",Bendis,Pago compartido
12/09/2025,Artículo hogar,"ARS 4,935.00",Deco/Insumos,Pago compartido
13/09/2025,Bienestar,"ARS 2,100.00",Bienestar,Pago compartido
14/09/2025,Nafta,"ARS 15,000.00",Auto,Pago compartido
14/09/2025,Mantenimiento,"ARS 5,000.00",Auto,Pago compartido
15/09/2025,Mascotas,"ARS 5,817.00",Bendis,Pago compartido
24/09/2025,Aysa,"ARS 13,979.00",Servicio Básico,Pago compartido
24/09/2025,Edesur,"ARS 17,336.00",Servicio Básico,Pago compartido
25/09/2025,Obra social,"ARS 11,650.00",Salud,Pago compartido
30/09/2025,Seguro,"ARS 33,208.00",Auto,Pago compartido
23/12/2024,Electrodoméstico,"ARS 13,889.00",Deco/Insumos,Tarjeta crédito
15/03/2025,Electrodoméstico,"ARS 5,965.00",Deco/Insumos,Tarjeta crédito
01/06/2025,Regalo,"ARS 11,667.00",Regalos,Tarjeta crédito
24/06/2025,Recreación,"ARS 7,253.00",Recreación,Tarjeta crédito
01/09/2025,Streaming,"ARS 7,497.00",Streaming,Tarjeta crédito
01/09/2025,Streaming,"ARS 9,059.00",Streaming,Tarjeta crédito
01/09/2025,Streaming,"ARS 3,321.00",Streaming,Tarjeta crédito
01/09/2025,Internet,"ARS 31,000.00",Servicio Básico,Tarjeta crédito
01/09/2025,Educación,"ARS 3,000.00",Educación,Tarjeta crédito
01/09/2025,Educación,"ARS 1,800.00",Educación,Tarjeta crédito
01/09/2025,Educación,"ARS 20,000.00",Educación,Tarjeta crédito
05/09/2025,Seguro,"ARS 47,237.00",Auto,Tarjeta crédito
17/09/2025,Artículo hogar,"ARS 28,867.00",Deco/Insumos,Tarjeta crédito
18/09/2025,Libreria,"ARS 17,200.00",Educación,Tarjeta crédito
19/09/2025,Artículo hogar,"ARS 5,500.00",Deco/Insumos,Tarjeta crédito
24/09/2025,Mantenimiento,"ARS 29,944.00",Servicio Básico,Tarjeta crédito
17/09/2025,Supermercado,"ARS 13,448.00",Supermercado,Tarjeta débito
18/09/2025,Artículo hogar,"ARS 38,000.00",Deco/Insumos,Tarjeta débito
20/09/2025,Deporte,"ARS 7,000.00",Deporte,Transferencia bancaria
